Brewery,Beer,Style,ABV,IBU
Great Divide Brewing Co,HeyDay,Modern IPA,,
Great Divide Brewing Co,Strawberry Rhubarb,Sour Ale,,
Great Divide Brewing Co,Lager,American Lager,,
Great Divide Brewing Co,Car Camper,Hazy Pale Ale,,
Great Divide Brewing Co,ORABELLE,Belgian Style Tripel,,
Great Divide Brewing Co,Roadie,Grapefruit Radler,,
Great Divide Brewing Co,HOSS,Oktoberfest Lager,,
Great Divide Brewing Co,Hibernation,English Style Old Ale,,
Great Divide Brewing Co,Chocolate Cherry Yeti,Imperial Stout,,
Great Divide Brewing Co,S'mores Yeti,Imperial Stout,,
Great Divide Brewing Co,Barrel Aged Yeti,Imperial Stout,,
Great Divide Brewing Co,Mexican Chocolate Yeti,Imperial Stout,,
Great Divide Brewing Co,Hopnaut,Double Juicy IPA,,
Great Divide Brewing Co,Coffee Porter,,,
Great Divide Brewing Co,Margarita Gose,,,
Great Divide Brewing Co,Wild Berry,Craft Hard Seltzer,,
Great Divide Brewing Co,Mango Ginger,Craft Hard Seltzer,,
Great Divide Brewing Co,Pomegranate Lime,Craft Hard Seltzer,,
Great Divide Brewing Co,Ruby Red Grapefruit,Craft Hard Seltzer,,
Great Divide Brewing Co,Wood Werks Old Fashioned,Old Fashioned Inspired Belgian-Style Ale,,
Great Divide Brewing Co,Wood Werks Golden Sour with Fruit,,,
Great Divide Brewing Co,Wood Werks Double Barrel Belgian,,,
14er Brewing, Strawberry-Kiwi Pina Colada Slush ,Fruit Beer,4% ABV,
14er Brewing, Baskin Slush ,American Wild Ale,4% ABV,
14er Brewing,28. Strawberry-Kiwi Seltzer ,Other,5% ABV,
14er Brewing,1. Longs Lager ,Lager - American Light,4.5% ABV,
14er Brewing,2. Maroon Bells Tropical Ale ,Fruit Beer,5.25% ABV,
14er Brewing,6. Rocky Mtn Saison ,Farmhouse Ale - Saison,5.25% ABV,
14er Brewing,7. Denver Michelada ,Farmhouse Ale - Saison,4% ABV,
14er Brewing, Baskin Juice ,American Wild Ale,4.5% ABV,
14er Brewing,3. Key Lime Pie Cream Ale ,Cream Ale,5.1% ABV,
14er Brewing,10. Imperial Oatmeal Peanut Butter Cookie ,Other,10% ABV,
14er Brewing,4. Mt Massive IPA ,IPA - American,6.5% ABV,
14er Brewing,5. Double Mt Massive IPA ,IPA - Imperial / Double,8.3% ABV,
14er Brewing,13. West Coast IPA ,IPA - American,7.5% ABV,
14er Brewing,22. STRATAgetically Single IPA ,IPA - American,6% ABV,
14er Brewing, Moon Phase IPA ,IPA - American,7% ABV,
14er Brewing, Margarita IPA ,IPA - American,8% ABV,
14er Brewing, Calamansi Crusher ,IPA - Sour,6% ABV,
14er Brewing,23. Lithuanian Kettle Sour ,Sour - Other,4.5% ABV,
14er Brewing,25. Not Your Mother's Wine ,Other,6.9% ABV,
14er Brewing,14. Mixed Culture Solera #2 ,Sour - Other,7.5% ABV,
14er Brewing,24. Brut Brettathon ,Brett Beer,7.5% ABV,
14er Brewing,11. Dry Hopped Oak Aged Pale Ale With Brett ,Other,7% ABV,
14er Brewing, Not Your Grandmother's Wine ,American Wild Ale,8% ABV,
14er Brewing,31. Neapolitan Milk Stout (Nitro),Stout - Milk / Sweet,5.88% ABV,
14er Brewing,18. Russian Imperial Stout ,Stout - Russian Imperial,9.9% ABV,
14er Brewing,17. Whisky Barrel Aged Russian Imperial Stout 2019 ,Stout - Russian Imperial,11% ABV,
14er Brewing,20. Double Cask Russian Imperial Stout ,Stout - Russian Imperial,12% ABV,
14er Brewing,21. Coffee Cask Finished Russian Imperial Stout ,Stout - Russian Imperial,12% ABV,
14er Brewing, Strawberry-Kiwi Pina Colada Slush ,Fruit Beer,4% ABV,
14er Brewing, Baskin Slush ,American Wild Ale,4% ABV,
14er Brewing, Strawberry-Kiwi Seltzer ,Other,5% ABV,
14er Brewing, Molly's Sip of Colorado ,Kölsch,4.57% ABV,
14er Brewing, Longs Lager ,Lager - American Light,4.5% ABV,
14er Brewing, Maroon Bells Tropical Ale ,Fruit Beer,5.25% ABV,
14er Brewing, Rocky Mtn Saison ,Farmhouse Ale - Saison,5.25% ABV,
14er Brewing, Denver Michelada ,Farmhouse Ale - Saison,4% ABV,
14er Brewing, Key Lime Pie Cream Ale ,Cream Ale,5.1% ABV,
14er Brewing, Imperial Oatmeal Peanut Butter Cookie ,Other,10% ABV,
